periodo,especialidad,maestra,doctorado,uabc,fecha
2018-2,175,929,458,1562,1530403200000000000
2019-1,286,863,435,1584,1546300800000000000
2019-2,310,992,498,1800,1561939200000000000
2020-1,292,826,445,1563,1577836800000000000
2020-2,389,999,577,1965,1593561600000000000
2021-1,353,971,552,1876,1609459200000000000
2021-2,345,951,619,1915,1625097600000000000
2022-1,323,843,555,1721,1640995200000000000
2022-2,691,861,565,2117,1656633600000000000
2023-1,366,794,498,1658,1672531200000000000
2023-2,775,1103,595,2473,1688169600000000000
2024-1,423,991,556,1970,1704067200000000000
2024-2,784,1162,637,2583,1719792000000000000
