periodo,uabc,en_formacin,en_consolidacin,consolidados,fecha
2018-2,215,91,63,61,1530403200000000000
2019-1,215,91,63,61,1546300800000000000
2019-2,223,104,52,67,1561939200000000000
2020-1,223,104,52,67,1577836800000000000
2020-2,227,101,55,71,1593561600000000000
2021-1,230,84,66,80,1609459200000000000
2021-2,235,83,73,79,1625097600000000000
2022-1,234,81,72,81,1640995200000000000
2022-2,235,78,76,81,1656633600000000000
2023-1,233,67,86,80,1672531200000000000
2023-2,232,73,83,76,1688169600000000000
2024-1,259,73,101,85,1704067200000000000
2024-2,255,67,99,89,1719792000000000000
