campus_campus,unidad_acadmica_unidad_acadmica,relacin_alumno_licenciatura_personal_acadmico_unnamed_2_level_1,relacin_alumno_posgrado_personal_acadmico_unnamed_3_level_1
Ensenada,Escuela de Ciencias de la Salud,82.08,0.0
Ensenada,Facultad de Artes,28.14,0.0
Ensenada,Facultad de Ciencias,17.4,1.36
Ensenada,Facultad de Ciencias Administrativas y Sociales,59.52,1.14
Ensenada,Facultad de Ciencias Marinas,12.23,1.45
Ensenada,Facultad de Deportes,53.0,0.0
Ensenada,Facultad de Enología y Gastronomía,57.22,1.67
Ensenada,Facultad de Idiomas,68.5,0.0
Ensenada,Facultad de Ingeniería y Negocios San Quintín,43.71,0.0
Ensenada,Facultad de Ingeniería Arquitectura y Diseño,35.69,1.23
Ensenada,Instituto de Investigaciones Oceanológicas,0.0,0.83
Ensenada,Instituto de Investigación y Desarrollo Educativo,0.0,2.31
Mexicali,Facultad de Arquitectura y Diseño,48.03,0.86
Mexicali,Facultad de Artes,27.06,0.0
Mexicali,Facultad de Ciencias Administrativas,110.71,1.98
Mexicali,Facultad de Ciencias Humanas,44.32,0.64
Mexicali,Facultad de Ciencias Sociales y Políticas,38.55,2.23
Mexicali,Facultad de Deportes,61.44,0.67
Mexicali,Facultad de Derecho,87.36,1.11
Mexicali,Facultad de Enfermería,66.26,0.47
Mexicali,Facultad de Idiomas,38.0,4.0
Mexicali,Facultad de Ingeniería,46.16,0.65
Mexicali,Facultad de Ingeniería y Negocios Guadalupe Victoria,25.92,0.23
Mexicali,Facultad de Medicina,55.91,4.5
Mexicali,Facultad de Odontología,37.58,2.27
Mexicali,Facultad de Pedagogía e Innovación Educativa,34.95,0.68
Mexicali,Instituto de Ciencias Agrícolas,19.06,0.77
Mexicali,Instituto de Ingeniería,0.0,2.0
Mexicali,Instituto de Investigaciones Culturales Museo,0.0,1.64
Mexicali,Instituto de Investigaciones Sociales,0.0,0.69
Mexicali,Instituto de Investigaciones en Ciencias Veterinarias,29.25,0.88
Mexicali,Unidad Universitaria Cd. Morelos,0.0,0.0
Mexicali,Unidad Universitaria San Felipe,0.0,0.0
Tijuana,Centro Universitario de Educación en Salud,0.0,0.0
Tijuana,Facultad de Artes,37.36,0.45
Tijuana,Facultad de Artes Tecate,0.0,0.0
Tijuana,Facultad de Ciencias Químicas e Ingeniería,41.88,0.77
Tijuana,Facultad de Ciencias de la Ingeniería Administrativas y Sociales Tecate,49.86,0.62
Tijuana,Facultad de Ciencias de la Salud Valle de las Palmas,65.0,0.17
Tijuana,Facultad de Contaduría y Administración,97.11,2.61
Tijuana,Facultad de Deportes,158.4,0.0
Tijuana,Facultad de Derecho,135.57,1.75
Tijuana,Facultad de Economía y Relaciones internacionales,34.85,3.73
Tijuana,Facultad de Humanidades y Ciencias Sociales,81.69,0.73
Tijuana,Facultad de Idiomas Tecate,118.0,0.0
Tijuana,Facultad de Ingeniería y Tecnología Valle de las Palmas,35.0,0.34
Tijuana,Facultad de Medicina y Psicología,43.41,3.04
Tijuana,Facultad de Odontología,59.76,1.71
Tijuana,Facultad de Turismo y Mercadotecnia,83.52,1.14
Tijuana,Facultad de idiomas,62.92,0.0
Tijuana,Instituto de Investigaciones Históricas,0.0,1.0
Tijuana,Unidad Universitaria Rosarito,457.0,0.0
